,Date,Diagnostic,Forest Type,Latitude,Longitude,Name,Notes,Origin,State,Submitter,Tag#
0,2006-03-01,Culture,Oak Savannah,38.437415,-122.64075,ANN06,,Umbellularia  californica,Negative,SSU,
1,2006-03-01,Culture,Mixed Evergreen,38.435204,-122.645779,ANN07,,Umbellularia  californica,Negative,SSU,
2,2006-03-01,Culture,Other,38.434129,-122.639196,ANN08,Chapparal,Umbellularia  californica,Negative,SSU,
3,2006-03-01,Culture,Mixed Evergreen,38.431114,-122.63747,ANN09,,Umbellularia  californica,Negative,SSU,
4,2006-03-01,Culture,Oak Savannah,38.422152,-122.641994,ANN10,,Umbellularia  californica,Negative,SSU,
5,2006-03-01,Culture,Mixed Evergreen,38.422568,-122.633824,ANN11,,Umbellularia  californica,Negative,SSU,
6,2006-04-01,Culture,Mixed Evergreen,38.426676,-122.613651,ANN15,,Umbellularia  californica,Negative,SSU,
7,2006-03-01,Culture,Other,38.42655,-122.602963,ANN17,Chapparal,Umbellularia  californica,Negative,SSU,
8,2006-03-01,Culture,Oak Savannah,38.422732,-122.622917,ANN18,,Umbellularia  californica,Negative,SSU,
9,2006-03-01,Culture,Mixed Evergreen,38.419602,-122.627847,ANN19,,Umbellularia  californica,Negative,SSU,
10,2006-03-01,Culture,Mixed Evergreen,38.418718,-122.624805,ANN20,,Umbellularia  californica,Negative,SSU,
11,2006-04-01,Culture,Mixed Evergreen,38.416643,-122.612983,ANN23,,Umbellularia  californica,Negative,SSU,
12,2006-03-01,Culture,Mixed Evergreen,38.419092,-122.604126,ANN24,,Umbellularia  californica,Negative,SSU,
13,2006-03-01,Culture,Mixed Evergreen,38.417768,-122.601797,ANN25,,Umbellularia  californica,Negative,SSU,
14,2006-03-01,Culture,Mixed Evergreen,38.406014,-122.601082,ANN29,,Umbellularia  californica,Negative,SSU,
15,2006-03-01,Culture,Mixed Evergreen,38.405364,-122.592851,ANN32,,Umbellularia  californica,Negative,SSU,
16,2006-03-01,Culture,Other,38.407959,-122.582517,ANN33,Chapparal,Umbellularia  californica,Negative,SSU,
17,2006-03-01,Culture,Oak Savannah,38.430341,-122.646868,ANN36,,Umbellularia  californica,Negative,SSU,
18,2006-04-01,Culture,Other,38.373382,-122.457817,APGAR01,Chapparal,Umbellularia  californica,Negative,SSU,
